,position_index,billboard_image_at_position_text,fix_bill,recall,recognition
0,1,drunk_driving,3,1,1
1,2,pizza,5,1,1
2,3,furniture,5,0,0
3,4,binge_drinking,5,1,1
4,5,education_donation,4,0,1
5,6,stop_smoking,5,0,1
6,7,texting_driving,4,0,1
7,8,brunch,2,0,1
8,9,coffee,6,0,1
9,10,hotel,4,0,1
10,11,underage_drinking,8,0,1
11,12,disobey_vape,5,1,1
12,13,drugged_driving,6,0,1
13,14,salad,5,0,1
14,15,burger,2,1,1
15,16,buckle_up,4,0,1
16,17,marijuana_driving,8,0,1
17,18,distracted_driving,4,1,1
18,19,smartphone,6,0,1
19,20,lawyer,7,0,1
